user_md5	post_id	post_type	post_date	likes	comments	ads_mode	politics_mode	pos_neg_mode	tags_dummy
a87b62512ea38bddd84d26e94d8b8376	tv/CQ20iBsqIgi/	video	2021-07-03	601	15	no	yes	party_yes_neg	0
04c60c55696c64c0abe0c3fd65eac3a5	p/CQ2utfyMIL5/	image	2021-07-03	4174	737	yes	no	party_no	1
d77e6efe2975c90db6471402061abcf7	p/CQ7Bbw_lw85/	image	2021-07-04	542	2	no	no	party_no	0
e3b84111a8245e22e9034fc3a83b3a3b	p/CQ61m2usvjw/	image	2021-07-04	10681	322	no	yes	party_yes_neg	0
d19d7a97ecc0d202614f86d575122e80	p/CQ6tG6qDK6q/	video	2021-07-04	164	3	no	no	party_no	0
9280b43fc4589291743b48d67b5f8453	p/CQ6rMQjn_s0/	image	2021-07-04	11359	84	no	no	party_no	1
d19d7a97ecc0d202614f86d575122e80	p/CQ6pkm9Dx_H/	video	2021-07-04	99	1	no	no	party_no	0
29643a30042ea2c66083053117f14cf1	p/CQ6myk3AZho/	image	2021-07-04	8943	13	no	no	party_no	0
29643a30042ea2c66083053117f14cf1	p/CQ6mRc0gWZ-/	image	2021-07-04	24047	114	no	no	party_no	0
1b681edf149c774c3911235f7c94d231	tv/CQ6jrc_qxI_/	video	2021-07-04	1173	28	no	yes	party_yes_neg	0
fc9051ee6bee590671e57890af4adea8	p/CQ6g5uNshQ4/	image	2021-07-04	3613	129	no	no	party_no	1
1f1cce919dd7476d910282e2048c4ed6	p/CQ6bYtJsduQ/	image	2021-07-04	646	60	no	no	party_no	0
44532d9df81f73c4cba293f99de2e3cf	p/CQ6Y2sSrgvc/	image	2021-07-04	16195	171	no	no	party_no	0
30d52d191d094d0c5999ed827021e8a5	p/CQ6W0tKrF4Z/	image	2021-07-04	1508	45	no	no	party_no	0
bbcfea1530c4aeb2f0a00e2f94064300	p/CQ6Q6whj2hs/	image	2021-07-04	755	11	yes	no	party_no	1
084bc5eda4c65fe9c3483d53ea84a4f8	p/CQ6KaucDr3s/	image	2021-07-04	31798	285	no	no	party_no	0
a51f9cc0b672c20636dba6bd665f0143	p/CQ56tyyrtzt/	image	2021-07-04	115521	1519	no	no	party_no	1
d77e6efe2975c90db6471402061abcf7	tv/CQ55T21jRl0/	video	2021-07-04	1270	70	no	no	party_no	0
abb364b8fabce38da2e1212fe1445556	p/CQ5zlqnJIBe/	image	2021-07-04	26586	249	no	no	party_no	0
abb364b8fabce38da2e1212fe1445556	p/CQ5yPkzp6NQ/	image	2021-07-04	24694	148	no	no	party_no	1
44532d9df81f73c4cba293f99de2e3cf	p/CQ5ubHUr1wd/	video	2021-07-04	6797	58	yes	yes	party_yes_neg	1
8a20805268a91bf8fc6bb42a3cf942da	p/CQ5tDb1MGbn/	image	2021-07-04	1823	107	no	no	party_no	0
999ca23c12d60d2ffe616d20886ea3d5	p/CQ5skp0rvwa/	video	2021-07-04	3452	433	no	no	party_no	1
f15f2f073b64cddd0ee21ba60e8dd04a	p/CQ5q6lpiVG8/	video	2021-07-04	1255	16	yes	yes	party_yes_pos	1
084bc5eda4c65fe9c3483d53ea84a4f8	p/CQ5rKiHjYKQ/	video	2021-07-04	6073	44	yes	yes	party_no	0
91527dbeb839b49f92fd2ba43724484f	p/CQ5nA8lMcxk/	image	2021-07-04	734	32	yes	no	party_no	1
e79d13565432a6daaedafa89a1371bb3	p/CQ5miY8MVLI/	video	2021-07-04	3323	76	yes	no	party_no	0
717d66373741268b2293e72655414b72	p/CQ5he18D2BO/	image	2021-07-04	10592	78	no	no	party_no	1
f33c10f173a676eedcf535592d3e6812	p/CQ5chpMJSah/	image	2021-07-04	1333	24	no	no	party_no	1
44532d9df81f73c4cba293f99de2e3cf	p/CQ9gl5lrYcu/	image	2021-07-05	33790	163	no	yes	party_no	1
02d2362a9cbe48bf56e74123a5d17a51	p/CQ9bD_ZseLA/	image	2021-07-05	421	6	yes	yes	party_no	1
b3fa9a6b502321f8f0e30b06f69a60ab	p/CQ9UbNMJ5ID/	image	2021-07-05	394	2	no	yes	party_no	0
dbd1313429684accb33e0ceec9274d7b	p/CQ9OPWAl4US/	image	2021-07-05	5190	190	no	yes	party_no	0
a51f9cc0b672c20636dba6bd665f0143	p/CQ9MCBULAe6/	image	2021-07-05	87782	272	yes	no	party_no	1
04c60c55696c64c0abe0c3fd65eac3a5	p/CQ9HHkssnWx/	image	2021-07-05	2284	92	no	no	party_no	1
4db79e097c0a133b2def2bf254f83dd9	p/CQ9F6XNlqg4/	image	2021-07-05	10173	192	no	no	party_no	0
50ae8a403ea23858fe2dce4149927d95	tv/CQ9DM28D2c7/	video	2021-07-05	42774	5128	yes	no	party_no	0
63380ce6bc4b0ca331f8919b3615e41d	p/CQ85BYdtk16/	image	2021-07-05	123981	820	no	yes	party_no	1
8812e6e135f142629315652e363d740d	p/CQ81m6KLA0N/	image	2021-07-05	3738	26	yes	no	party_no	1
d19d7a97ecc0d202614f86d575122e80	p/CQ80rUMNYp1/	image	2021-07-05	251	19	no	yes	party_yes_neg	0
a87b62512ea38bddd84d26e94d8b8376	p/CQ8pobCMpda/	image	2021-07-05	896	8	no	yes	party_yes_neg	0
0260d8d15a0c0c75ca4aad9479e7de61	p/CQ8eQyvlc07/	image	2021-07-05	1304	18	no	no	party_no	0
7a775131d1c2e8d51ff2962e7002d4d6	p/CQ8bLMJl-nQ/	image	2021-07-05	10225	285	no	no	party_no	1
d19d7a97ecc0d202614f86d575122e80	p/CQ8S4SHtv8G/	image	2021-07-05	214	5	yes	no	party_no	0
843995b2f47a14055d3723f8a8617456	p/CQ8Oqk-sMFU/	image	2021-07-05	239	1	no	yes	party_yes_neg	0
bbcfea1530c4aeb2f0a00e2f94064300	p/CQ8JYlDDje5/	image	2021-07-05	1679	98	yes	yes	party_yes_neg	0
7b0ad56a98c5c99204fa635d5c66e2e3	p/CQ8HyQCng4b/	image	2021-07-05	10564	238	no	yes	party_no	0
bf0477239c7c653961cd1a9dab396cf1	p/CQ8E34qJ4bU/	image	2021-07-05	16696	204	no	no	party_no	1
abb364b8fabce38da2e1212fe1445556	p/CQ8EqNApV1o/	video	2021-07-05	13005	195	no	no	party_no	0
f33c10f173a676eedcf535592d3e6812	p/CQ7w1UvpVSW/	image	2021-07-05	1594	22	no	no	party_no	1
04efabf9ee38896016be90e0a36f0116	p/CQ7wR-0jEVc/	image	2021-07-05	311	15	yes	no	party_no	1
165f4ad1f616ac1f05281d947d0a1a97	p/CQ_y6L-pjxh/	image	2021-07-06	1433	94	yes	no	party_no	0
717d66373741268b2293e72655414b72	p/CQ_yCKDDnHX/	image	2021-07-06	12547	109	yes	no	party_no	1
a51f9cc0b672c20636dba6bd665f0143	p/CQ_qKfxr0l7/	image	2021-07-06	58300	314	yes	no	party_no	1
